Kanske et al. (2010) - Supplement
LANG database, including valence mean and sd, arousal mean and sd,
concreteness mean and sd, frequency, number of letters and syllables.
Ratings from all, female, and male participants are provided separately.
all participants
word	valence_mean	valence_sd	arousal_mean	arousal_sd	concreteness_mean	concreteness_sd	frequency	number_of_letters	number_of_syllables
Gondel	5.500000	1.247219	3.459016	2.291824	2.142857	1.702533	14	6	2
Göre	3.968750	1.868441	5.281250	2.360177	4.698413	2.667819	16	4	2
Grab	3.507937	2.461792	6.093750	2.549315	2.412698	2.044938	11	4	1
Graphik	5.793651	1.567397	2.857143	2.270833	3.507937	2.313167	14	7	2
Gras	5.593750	1.466220	3.190476	2.326961	1.380952	0.633184	11	4	1
Grazie	6.428571	2.107699	5.031250	2.267568	6.396825	2.524331	14	6	2
Grind	4.140625	1.833266	4.225807	2.563421	2.809524	1.990762	17	5	1
Grinsen	6.269841	2.111461	5.656250	2.132282	4.984127	2.708958	13	7	2
Grübchen	6.225807	1.712245	4.203125	2.364954	2.698413	1.947993	17	8	2
Gruft	3.730159	2.215825	5.421875	2.342192	2.206349	1.647664	14	5	1
Gründer	5.843750	1.237236	3.174603	2.359194	4.904762	2.686371	11	7	2
Gruppe	5.390625	1.432250	3.359375	2.242215	4.095238	2.557180	8	6	2
Gunst	6.174603	1.631739	3.609375	2.272103	7.435484	1.770625	12	5	1
Güte	6.365079	2.216519	5.126984	2.485390	7.596774	1.787568	12	4	2
Hafen	5.650794	1.770354	2.968254	2.086580	2.016393	1.607190	11	5	2
Hai	4.328125	1.737127	5.734375	2.351914	1.580645	1.094673	14	3	1
Hälfte	5.125000	0.806718	2.475410	1.831271	5.031746	2.693890	8	6	2
Hammer	4.906250	1.122904	3.048387	2.279110	1.209677	0.483739	11	6	2
Handel	5.265625	1.224644	2.704918	1.935151	5.516129	2.702409	9	6	2
Handlung	5.112903	0.942700	3.000000	1.909231	6.612903	2.397778	11	8	2
Harem	4.953125	2.058121	5.140625	2.474423	4.190476	2.614211	15	5	2
Härte	4.593750	1.874802	4.156250	2.324601	6.483871	2.494203	11	5	2
Häscher	3.625000	1.847349	4.758065	2.615750	5.870968	2.551013	16	7	2
Hass	3.142857	2.545440	7.406250	2.037106	7.887097	1.865167	12	4	1
Hast	3.843750	2.001735	5.539683	2.551568	7.412698	1.914587	11	4	1
Hauch	5.828125	1.723366	3.859375	2.287767	5.870968	2.837015	12	5	1
Haut	5.796875	1.393633	4.343750	2.495830	2.301587	1.747209	10	4	1
Hecke	5.093750	1.019162	2.412698	1.455079	1.790323	1.229915	14	5	2
Heft	5.000000	0.534523	1.786885	1.592846	1.587302	1.101830	11	4	1
Hefter	5.078125	0.571955	1.984127	1.699071	1.854839	1.353160	17	6	2
Hehler	3.365079	2.209230	5.281250	2.528999	5.016129	2.589335	16	6	2
Heil	5.523810	1.634873	4.790323	2.593416	7.435484	1.904447	12	4	1
Heilung	6.406250	2.090939	4.650794	2.572552	6.523810	2.507133	13	7	2
Heimat	5.857143	2.235037	5.671875	2.513801	7.693548	2.139317	9	6	2
Hektik	3.677419	2.223380	6.063492	2.206099	7.428571	1.989604	12	6	2
Held	6.578125	2.287334	5.765625	2.518139	5.612903	2.801375	10	4	1
Helfer	6.661290	2.475742	4.571429	2.600957	4.714286	2.696644	10	6	2
Hemd	5.125000	1.031258	2.587302	1.828404	1.661290	1.115370	12	4	1
Hengst	5.453125	1.413424	4.285714	2.445724	2.209677	1.784607	13	6	1
Henkel	4.890625	0.856667	1.885246	1.613468	1.580645	1.033035	11	6	2
Henker	2.968750	2.403495	6.587302	2.499257	3.333333	2.501612	13	6	2
Herkunft	5.444444	1.542702	2.843750	1.945436	6.516129	2.597237	10	8	2
Herpes	3.269841	2.496490	5.507937	2.663208	2.968254	2.184758	17	6	2
Herz	6.390625	2.112827	6.209677	2.477023	2.177419	1.868849	9	4	1
Hetze	3.349206	2.301183	6.142857	2.263719	7.241936	1.843780	14	5	2
Hilfe	5.737705	2.272309	4.656250	2.262312	6.761905	2.269818	8	5	2
Himmel	6.781250	2.393568	5.156250	2.431400	4.177419	2.989184	9	6	2
Hintern	5.841270	2.088419	6.718750	2.003717	2.031746	1.343662	13	7	2
Hobby	6.250000	1.984064	4.126984	2.750320	7.206349	1.705387	12	5	2
Hochzeit	6.476191	2.313057	5.234375	2.598792	4.048387	2.859711	11	8	2
Hocker	5.015625	0.453984	2.016129	1.541682	1.483871	0.824660	14	6	2
Hoden	4.875000	1.898203	5.873016	2.432920	1.322581	0.594350	15	5	2
Hoffnung	7.062500	2.724813	5.317460	2.367968	8.338710	1.172689	8	8	2
Hohn	3.634921	2.288129	4.562500	2.389627	7.746032	1.513043	13	4	1
Hölle	3.000000	2.710030	6.555556	2.421528	6.774194	2.601509	11	5	2
Holz	5.343750	1.311957	2.253968	1.822514	2.063492	1.584939	10	4	1
Honig	6.015625	2.178482	4.238095	2.512641	1.709677	1.359690	13	5	2
Horror	3.365079	2.629250	6.968750	2.145270	7.725807	1.590642	13	6	2
Hose	5.218750	1.030776	2.640625	2.095855	1.793651	1.597970	12	4	2
Hotel	5.453125	1.446723	3.258065	2.246567	2.338710	1.999537	9	5	2
Hüfte	5.828125	1.363407	4.253968	2.382519	1.984127	1.325824	13	5	2
Humor	6.857143	2.687229	6.125000	2.264285	7.854839	1.412436	11	5	2
Hure	3.555556	2.538591	6.609375	2.401172	4.222222	2.491563	13	4	2
Husten	3.953125	1.872353	4.156250	2.124825	4.206349	2.765914	14	6	2
Hut	5.390625	1.033060	2.344262	1.922544	1.444444	0.875800	11	3	1
Hütte	5.281250	1.396921	2.492064	1.958217	1.698413	1.186414	11	5	2
Hymne	5.765625	1.941544	4.187500	2.435681	5.129032	2.748972	13	5	2
Idol	5.921875	1.793327	5.580645	2.206907	6.612903	2.438455	13	4	2
Import	5.109375	0.818772	2.322581	1.762768	5.952381	2.732295	12	6	2
Infarkt	3.109375	2.539324	6.885246	2.129932	4.571429	2.849529	15	7	2
Inhalt	5.140625	0.989904	2.131148	1.687952	6.571429	2.353544	10	6	2
Inzest	2.793651	2.476722	6.129032	2.300990	6.451613	2.702018	15	6	2
Inzucht	2.609375	2.658423	6.093750	2.635043	6.571429	2.631780	16	7	2
Irrer	3.444444	2.085107	6.140625	2.245752	5.793651	2.349734	17	5	2
Irrsinn	3.937500	1.934441	5.539683	2.354306	7.419355	1.815673	14	7	2
Jacke	4.906250	0.903586	2.096774	1.870475	1.500000	0.762868	12	5	2
Jammer	3.703125	2.187117	5.507937	2.131734	7.360656	2.033329	13	6	2
Jubel	5.838710	1.839401	5.460318	2.381551	6.081967	2.703671	11	5	2
Jugend	6.428571	2.182883	4.365079	2.378001	7.080645	2.234589	9	6	2
Junge	5.421875	1.832725	3.109375	2.168440	2.333333	1.778002	9	5	2
Juwel	6.174603	1.651389	4.359375	2.366212	1.951613	1.384071	14	5	2
Kabel	5.000000	0.642416	2.016129	1.815163	1.809524	1.389560	11	5	2
Kachel	5.140625	0.753135	2.387097	2.122130	2.145161	1.781938	17	6	2
Kacke	3.343750	2.495830	6.109375	2.588848	2.333333	1.875134	17	5	2
Kaff	3.746032	1.703585	4.349206	2.244411	4.573771	2.906653	15	4	1
Kamm	4.906250	0.971315	1.859375	1.582315	1.492064	1.090620	14	4	1
Kanne	5.062500	0.587570	1.800000	1.493489	1.492064	1.090620	15	5	2
Kante	4.968750	0.733955	1.950820	1.553772	2.698413	2.052810	14	5	2
Kappe	4.968750	0.665922	1.918033	1.625783	1.790323	1.243173	14	5	2
Kapsel	4.843750	1.026919	2.412698	1.906144	2.508197	1.971657	14	6	2
Karpfen	5.062500	1.110913	2.460318	1.683175	1.476191	0.913292	14	7	2
Karte	5.218750	0.765709	2.016129	1.654521	1.950820	1.488021	10	5	2
Karton	4.937500	0.663684	1.870968	1.408218	1.888889	1.192870	13	6	2
Käse	5.671875	1.652845	3.532258	2.259535	1.444444	0.838158	12	4	2
Kasse	5.015625	0.999876	2.666667	1.959263	1.790323	1.427334	10	5	2
Kasten	4.812500	0.923675	2.000000	1.732051	1.873016	1.142889	11	6	2
Kelle	4.890625	0.892956	2.190476	1.794770	1.548387	1.154853	15	5	2
Keller	4.500000	1.727463	3.238095	2.380799	1.920635	1.347657	10	6	2
Kerker	3.250000	2.443001	6.380952	2.510806	2.634921	2.073657	14	6	2
Kern	5.062500	0.852168	2.365079	1.649062	2.213115	1.835890	10	4	1
Kessel	4.859375	0.888501	1.950000	1.267922	1.777778	1.237120	13	6	2
Ketzer	3.539683	2.421845	5.174603	2.727043	5.555556	2.595143	14	6	2
Kiesel	5.265625	0.781577	2.225807	1.832488	1.725807	1.133244	15	6	2
Kiffer	3.937500	2.322253	6.000000	2.449490	4.174603	2.479202	16	6	2
Killer	2.629032	2.771245	6.983871	2.130896	4.596774	2.512002	12	6	2
Kind	6.578125	2.136640	4.125000	2.478479	1.564516	0.916532	8	4	1
Kinn	5.234375	0.636014	2.612903	2.129841	1.539683	1.280441	13	4	1
Kippe	4.158730	1.977342	3.920635	2.404979	2.016129	1.541682	14	5	2
Kirsche	6.081967	2.092009	3.873016	2.379293	1.365079	0.702566	16	7	2
Kissen	5.609375	1.848356	3.656250	2.483078	1.682540	1.329873	13	6	2
Kitzel	5.890625	1.844057	5.453125	2.329450	6.435484	2.453642	15	6	2
Klage	3.687500	2.022689	5.078125	2.248842	6.190476	2.746594	10	5	2
Klammer	4.859375	0.870453	1.967742	1.792221	1.758065	1.339017	14	7	2
Kleidung	5.920635	1.639252	3.234375	2.265982	2.730159	2.149316	11	8	2
Klempner	4.859375	0.888501	2.311475	1.936844	2.704918	2.162901	15	8	2
Klima	5.156250	1.262635	3.587302	2.091727	6.190476	2.775801	10	5	2
Klingel	5.062500	1.219875	2.596774	2.003764	1.655738	1.046984	15	7	2
Klinik	4.375000	1.923126	3.253968	2.375739	2.096774	1.656677	10	6	2
Klinke	5.015625	0.701296	2.206349	1.627969	1.492064	0.780261	15	6	2
Klo	4.095238	1.766300	4.593750	2.441173	1.730159	1.472395	14	3	1
Klugheit	6.682540	2.347445	5.032258	2.515315	8.129032	1.408218	13	8	2
Knabe	5.390625	1.176721	2.793651	1.902110	2.460318	1.721078	12	5	2
Knast	3.193548	2.373617	5.841270	2.431025	2.285714	1.852884	12	5	1
Knie	5.031250	0.925284	2.828125	2.171640	1.746032	1.177316	11	4	1
Knopf	5.111111	0.698180	2.158730	1.850949	1.523810	0.997693	13	5	1
Knorpel	3.952381	1.430414	3.468750	2.356812	2.587302	1.906144	16	7	2
Knospe	6.203125	1.961371	3.875000	2.373799	1.741936	0.828498	16	6	2
Knoten	5.078125	1.145103	2.809524	2.101130	2.444444	1.864592	12	6	2
Knüppel	4.125000	1.759329	5.730159	2.322446	2.193548	1.948843	14	7	2
Koks	3.174603	2.661189	6.343750	2.558638	2.380952	1.717355	14	4	1
Kokser	3.238095	2.582286	6.390625	2.447008	4.349206	2.541010	18	6	2
Kollaps	3.444444	2.434813	6.063492	2.500794	6.209677	2.631070	13	7	2
Koma	3.047619	2.497925	6.222222	2.549158	5.161290	2.915159	13	4	2
Komfort	5.984375	2.111888	4.343750	2.405145	7.936508	1.330450	12	7	2
Komik	6.634921	2.134974	5.301587	2.556680	7.032258	2.325678	12	5	2
Kompass	5.296875	1.093700	2.338710	1.707683	1.793651	1.404586	15	7	2
Kondom	5.656250	1.555520	5.822581	2.322549	1.274194	0.577427	14	6	2
Konfekt	5.765625	1.725092	2.603175	1.905338	2.274194	1.600915	17	7	2
Kontext	5.063492	0.759308	2.238095	1.932025	6.790323	2.483632	12	7	2
Korb	5.265625	1.300088	2.333333	1.768907	1.661290	1.200322	12	4	1
Korken	5.328125	1.099129	2.984127	2.082896	1.460318	1.119121	15	6	2
Korn	5.093750	0.954833	2.859375	2.038263	1.919355	1.271354	13	4	1
Körper	6.161290	1.729148	5.177419	2.486186	2.016129	1.520267	9	6	2
Kot	2.968750	2.429767	5.968254	2.590107	2.317460	1.847626	14	3	1
Köter	3.539683	2.146455	4.750000	2.494438	3.209677	2.436990	16	5	2
Kotze	2.825397	2.636834	6.419355	2.329767	1.952381	1.507279	18	5	2
Krach	3.921875	2.191649	5.562500	2.315407	6.274194	2.674527	12	5	1
Kraft	6.578125	2.328599	5.625000	2.591194	6.730159	2.417719	8	5	1
Krake	4.500000	1.623244	4.936508	2.551869	1.666667	1.295152	16	5	2
Kralle	4.062500	1.707825	3.984375	2.264230	2.079365	1.753352	16	6	2
Krampf	3.703125	2.113296	5.718750	2.250000	4.274194	2.692852	15	6	1
Kran	4.843750	0.622814	2.064516	1.545708	1.444444	1.059181	13	4	1
Krätze	3.269841	2.363747	5.841270	2.215825	4.777778	2.761746	17	6	2
Kräuter	5.596774	1.530667	3.483871	2.295698	2.241936	1.807865	14	7	2
Krebs	3.682540	2.668970	5.656250	2.829655	4.000000	2.930898	11	5	1
Kreide	5.046875	0.764898	2.218750	1.588338	1.451613	0.761307	13	6	2
Kreis	5.265625	1.101834	2.213115	1.684387	2.451613	2.230029	9	5	1
Krieg	2.516129	2.929454	7.258065	2.157226	5.580645	2.928371	8	5	1
Krise	3.609375	2.306768	5.890625	2.463171	6.758065	2.474032	9	5	2
Kristall	6.140625	1.807104	4.444444	2.532230	2.000000	1.525736	14	8	2
Krücke	3.906250	1.678234	3.047619	1.921261	1.870968	1.234529	15	6	2
Krug	5.203125	0.694187	2.225807	1.850293	1.539683	0.876676	12	4	1
Krüppel	3.412698	2.099423	5.571429	2.374015	3.888889	2.508766	15	7	2
Kuchen	6.079365	2.034395	3.578125	2.202486	1.666667	1.231312	12	6	2
Kuh	5.265625	1.275436	2.838710	2.136287	1.444444	0.980089	12	3	1
Kuhle	4.843750	0.946485	2.442623	1.884362	3.158730	2.377355	17	5	2
Kühnheit	5.774194	1.859132	4.888889	2.103079	7.564516	1.852079	14	8	2
Küken	6.063492	1.865415	3.812500	2.635984	1.645161	0.888852	14	5	2
Kummer	3.296875	2.517745	5.109375	2.351070	7.920635	1.649062	12	6	2
Kunde	5.281250	1.046062	2.483871	1.771745	3.825397	2.738847	10	5	2
Kunst	6.317460	2.022657	4.761905	2.447608	7.516129	2.208344	8	5	1
Kuppel	5.015625	1.374278	2.539683	1.873632	2.222222	1.808978	13	6	2
Kuppler	4.781250	1.803601	3.682540	2.093195	5.161290	2.625184	17	7	2
Kurs	5.078125	1.058671	2.507937	1.821671	5.129032	2.725014	9	4	1
Kurve	5.453125	1.068001	3.238095	2.325970	3.492064	2.558181	12	5	2
Kuss	7.171875	2.797701	7.790323	1.874218	3.031746	2.362122	14	4	1
Lächeln	6.953125	2.522469	6.730159	2.356914	5.396825	2.618419	10	7	2
Lachen	7.125000	2.786020	6.238095	2.531825	5.015873	2.785284	11	6	2
Laden	5.218750	0.999504	2.269841	1.638315	2.047619	1.590583	10	5	2
Ladung	4.921875	0.996895	2.661290	2.164873	3.714286	2.549058	12	6	2
Lager	5.171875	1.189300	2.338710	2.032067	3.096774	2.434113	9	5	2
Lampe	5.365079	0.972220	2.274194	1.917729	1.285714	0.633184	12	5	2
Laub	5.453125	1.379322	2.222222	1.800040	1.857143	1.366148	13	4	1
Läufer	5.515625	1.083677	3.317460	2.526156	3.387097	2.411413	12	6	2
Leder	5.265625	1.405682	2.984127	2.121260	2.096774	1.715022	12	5	2
Lehre	5.571429	1.200998	2.968750	2.054563	5.967742	2.679416	10	5	2
Lehrer	5.156250	1.449891	3.468750	2.487867	2.403226	1.970767	9	6	2
Leiche	3.032258	2.799108	7.187500	2.099698	2.301587	2.029102	10	6	2
Leichnam	2.903226	2.578026	6.703125	2.368307	2.333333	1.951013	13	8	2
Leid	3.000000	2.546345	6.064516	2.366924	7.951613	1.721869	11	4	1
Leistung	6.000000	2.123190	4.671875	2.357391	7.065574	2.031985	9	8	2
Leiter	4.953125	0.764898	2.112903	1.709231	1.571429	1.444838	9	6	2
Lepra	2.774194	2.458971	6.093750	2.610837	4.079365	2.671846	16	5	2
Lesbe	5.015625	1.713552	5.953125	2.353179	4.142857	2.693224	16	5	2
Lesung	5.609375	1.518324	2.806452	1.940413	5.253968	2.552470	11	6	2
Licht	6.333333	2.271847	3.875000	2.214670	4.222222	3.039760	9	5	1
Liebchen	6.206349	1.667127	5.093750	2.334821	6.428571	2.029733	16	8	2
Liebe	7.206349	2.789142	7.516129	1.905488	8.225807	1.778002	8	5	2
Liebling	6.793651	2.148959	6.241936	2.093593	5.841270	2.397622	12	8	2
Liebster	6.758065	2.454073	6.000000	2.253745	5.714286	2.344717	15	8	2
Lied	6.225807	2.335888	4.666667	2.565277	4.444444	2.821449	10	4	1
Lilie	6.193548	1.800170	4.218750	2.291937	1.661290	1.172689	15	5	2
List	4.593750	1.639965	4.444444	2.544937	6.904762	2.346681	12	4	1
Lizenz	5.187500	1.005935	2.274194	1.728919	5.380952	2.784917	11	6	2
Lob	6.258065	2.141973	5.437500	2.342668	6.816667	2.354165	11	3	1
Locke	5.746032	1.402397	3.460318	2.454919	1.777778	1.128008	15	5	2
Lockung	5.453125	1.207512	4.241936	2.440676	6.968254	2.221364	17	7	2
Löffel	5.140625	0.852023	1.935484	1.353453	1.301587	0.557498	13	6	2
Lohn	6.306452	2.551687	3.890625	2.190290	4.920635	2.737444	10	4	1
Lücke	4.761905	1.073347	2.777778	1.971118	4.333333	2.799770	11	5	2
Luder	4.484375	2.429921	6.234375	2.052812	5.682540	2.448340	15	5	2
Lüge	3.578125	2.245310	6.887097	2.049429	7.442623	2.276874	11	4	2
Lügner	3.515625	2.323054	6.774194	1.919865	6.209677	2.403120	13	6	2
Lumpen	3.578125	1.815320	4.171875	2.542057	3.269841	2.156807	14	6	2
Lunge	5.250000	1.501322	3.507937	2.078096	1.888889	1.392504	13	5	2
Lust	6.403226	2.052265	6.857143	2.368184	7.809524	1.821530	9	4	1
Lüstling	4.671875	2.167983	7.047619	1.852884	5.428571	2.563480	18	8	2
Luxus	6.206349	2.156451	5.317460	2.421845	6.967742	2.648648	11	5	2
Macke	4.484375	1.661823	5.046875	2.148678	6.467742	2.634685	15	5	2
Made	3.671875	2.204287	4.734375	2.589614	2.095238	1.662822	15	4	2
Magen	4.828125	1.000868	3.140625	2.280819	2.031746	1.596046	12	5	2
Magie	6.126984	2.128850	6.031250	2.606273	7.612903	2.019210	13	5	2
Maid	5.859375	1.510463	3.750000	2.390457	3.587302	2.325420	16	4	1
Mais	5.437500	1.258306	2.322581	1.956697	1.467742	0.824179	13	4	1
Maler	5.857143	1.255403	3.650794	2.215479	3.492064	2.448654	10	5	2
Mama	6.333333	2.429656	6.171875	2.250606	3.222222	2.660611	11	4	2
Manie	4.171875	2.035827	4.539683	2.513354	8.112903	1.483293	16	5	2
Mantel	5.250000	1.038925	2.365079	1.816604	1.693548	1.421021	11	6	2
Märchen	6.281250	2.058423	3.875000	2.185813	5.677419	2.708664	11	7	2
Markt	5.412698	1.455079	2.650794	1.850534	3.317460	2.291819	8	5	1
Masseur	6.190476	1.916458	6.349206	2.363422	3.412698	2.492796	14	7	2
Mast	4.734375	1.503881	2.516129	2.006072	2.774194	2.438888	14	4	1
Maul	3.953125	1.880811	4.730159	2.695315	2.714286	1.887382	12	4	1
Meer	6.451613	2.413605	5.428571	2.716225	2.253968	2.078835	10	4	1
Mehl	5.015625	0.629744	1.790323	1.670742	1.492064	1.203128	13	4	1
Memme	3.796875	1.961371	5.593750	2.293668	5.698413	2.427231	17	5	2
Menü	5.666667	1.295152	3.274194	2.368989	4.746032	2.799587	13	4	2
Metall	5.109375	1.114368	2.250000	1.790628	2.306452	1.675168	12	6	2
Mief	3.718750	2.003717	5.046875	2.332855	6.666667	2.300070	15	4	1
Milben	3.718750	2.134142	4.031250	2.468653	2.158730	1.557566	16	6	2
Milde	5.841270	1.628440	4.112903	2.396068	7.460318	1.932952	13	5	2
Mist	3.734375	1.819142	5.349206	2.272974	3.032258	2.187653	13	4	1
Mitte	5.095238	0.962428	2.682540	2.046440	5.725807	2.643702	8	5	2
Moder	3.671875	2.116111	4.265625	2.533848	5.295082	2.812735	16	5	2
Modul	4.984375	0.766194	2.380952	1.937978	5.322581	2.918422	14	5	2
Moment	5.476191	1.268186	3.523810	2.422057	7.354839	2.450137	10	6	2
Monat	5.238095	0.962428	2.129032	1.624443	5.492064	2.928575	9	5	2
Monster	3.857143	2.340783	5.952381	2.439121	4.952381	2.690656	12	7	2
Monteur	4.765625	0.791667	2.492064	2.015048	3.333333	2.495157	15	7	2
Morast	3.734375	1.937452	4.406250	2.511679	3.888889	2.634211	15	6	2
Mord	2.516129	2.867237	7.063492	2.577026	5.333333	3.192734	10	4	1
Mörder	2.774194	2.760490	6.906250	2.635043	4.677419	2.756656	10	6	2
Moschus	5.250000	1.790628	3.687500	2.409472	3.730159	2.653095	17	7	2
Möse	4.365079	2.497105	6.841270	2.541313	2.573771	1.927512	18	4	2
Mühle	5.218750	0.999504	2.344262	1.824694	1.532258	0.918262	12	5	2
Müll	3.718750	2.104181	4.555556	2.305518	2.793651	1.935731	11	4	1
Mund	5.765625	1.823499	4.129032	2.512160	1.444444	0.946603	10	4	1
Münze	5.460318	1.242077	2.838710	2.073988	1.380952	0.633184	13	5	2
Murmel	5.285714	1.262723	2.301587	1.632680	2.095238	1.881268	17	6	2
Muschi	4.920635	2.238242	6.609375	2.251047	2.333333	1.665591	18	6	2
Musik	6.703125	2.646829	6.129032	2.371165	5.396825	2.997524	8	5	2
Muskel	5.761905	1.410951	4.634921	2.665803	2.048387	1.603556	14	6	2
Mut	6.265625	2.205636	5.746032	2.455857	7.435484	2.207446	10	3	1
Mutant	4.375000	1.972027	4.333333	2.341767	4.873016	2.708958	18	6	2
Mütze	5.338710	0.922284	2.209677	1.590310	1.508197	1.042800	12	5	2
Mystik	5.730159	1.638315	4.906250	2.361858	7.887097	1.865167	14	6	2
Mythen	5.859375	1.467826	4.875000	2.193063	7.919355	1.632642	12	6	2
Nacken	5.843750	1.673498	4.031746	2.389279	1.587302	1.026031	12	6	2
Nadel	4.718750	1.090635	4.015625	2.439699	1.476191	0.858678	13	5	2
Nähe	6.328125	2.108597	5.828125	2.394138	6.838710	2.204270	9	4	2
Name	5.390625	1.364135	2.854839	2.110448	5.854839	3.077399	9	4	2
Narbe	3.703125	1.997456	4.920635	2.391528	2.111111	1.656961	14	5	2
Nase	5.187500	0.870596	3.125000	2.134375	1.483871	1.112403	10	4	2
Natter	4.234375	1.933351	4.015873	2.239615	1.587302	1.172740	16	6	2
Nazi	2.580645	2.784903	7.796875	2.040695	3.919355	2.806891	14	4	2
Neid	3.492064	2.481369	5.857143	2.108792	8.096774	1.314605	12	4	1
Nektar	5.777778	1.441823	3.296875	2.179848	2.951613	2.183601	16	6	2
Nigger	2.873016	2.648749	7.253968	2.192129	4.467742	2.732427	15	6	2
Nippel	5.603175	2.275676	6.571429	2.138090	1.887097	1.344141	18	6	2
Not	3.562500	2.308542	5.666667	2.663977	7.365079	1.928576	10	3	1
Notar	4.746032	1.256830	2.500000	2.054583	3.777778	2.773402	13	5	2
Notiz	5.015625	0.983873	2.492064	1.916592	4.015873	2.580898	13	5	2
Nutte	3.476191	2.595636	6.539683	2.347445	4.000000	2.540003	16	5	2
Nutzen	5.301587	1.303035	2.671875	1.799953	6.709677	2.458756	11	6	2
Obdach	5.250000	1.727463	3.437500	2.084524	4.338710	2.521667	15	6	2
Obhut	5.703125	1.677864	3.421875	2.014272	5.952381	2.471963	13	5	2
Ofen	5.171875	1.538446	3.532258	2.365862	1.532258	0.843835	12	4	2
Opfer	3.000000	2.469165	6.428571	2.298066	4.968254	2.614897	8	5	2
Ordner	5.171875	1.032099	2.196721	1.777823	2.380952	2.330918	13	6	2
Ordnung	5.625000	1.768328	3.484375	2.160190	6.241936	2.615750	10	7	2
Organ	5.062500	1.446122	3.983607	2.179387	2.301587	1.592674	12	5	2
Orgie	5.126984	1.879362	7.112903	2.150904	5.031746	2.627204	15	5	2
Paar	6.492064	2.256696	5.095238	2.374015	4.174603	2.768135	10	4	1
Paarung	6.096774	1.375544	5.936508	2.347772	5.587302	2.721687	15	7	2
Packung	4.953125	0.602368	2.203125	1.756437	2.111111	1.685910	14	7	2
Paddel	5.515625	1.023412	2.131148	1.596615	1.539683	1.242077	17	6	2
Paket	5.484375	1.297032	2.650794	2.056922	1.838710	1.427982	11	5	2
Palast	5.777778	1.987416	4.274194	2.548991	2.419355	2.108129	11	6	2
Panik	3.015873	2.399543	6.650794	2.390564	7.758065	1.585648	11	5	2
Papier	5.343750	0.801165	2.387097	1.876121	1.655738	0.854113	9	6	2
Parfüm	6.380952	2.202847	4.952381	2.310066	2.774194	2.228131	14	6	2
Party	6.460318	2.487552	6.062500	2.273903	4.746032	2.657723	11	5	2
Pech	3.609375	2.135246	5.015873	2.338266	7.290323	2.511528	11	4	1
Pein	3.444444	2.421528	5.761905	2.353544	7.887097	1.548186	14	4	1
Pendel	4.968750	1.083333	3.111111	2.032884	1.857143	1.412583	15	6	2
Penis	5.095238	1.811382	7.142857	2.077973	1.317460	0.643213	14	5	2
Penner	3.609375	2.286032	6.047619	2.253518	4.285714	2.549058	14	6	2
Perle	6.380952	2.260663	5.190476	2.468231	2.032258	1.783051	13	5	2
Pest	2.904762	2.860827	6.841270	2.171712	4.612903	2.932882	13	4	1
Petze	3.453125	2.302033	5.126984	2.504783	6.419355	2.287159	18	5	2
Pfanne	5.000000	1.007905	2.258065	1.801052	1.253968	0.594823	14	6	2
Pflege	5.873016	1.827144	3.888889	2.222401	6.516129	2.420825	11	6	2
Pfusch	3.222222	2.405937	5.578125	2.328599	6.403226	2.336171	15	6	1
Phase	5.015625	0.934221	2.193548	1.772640	6.714286	2.458878	10	5	2
Phobie	3.412698	2.460232	6.156250	2.365216	8.000000	1.471032	17	6	2
Pickel	3.140625	2.266857	5.796875	2.619704	1.904762	1.117519	15	6	2
Picknick	6.258065	2.209781	4.671875	2.268170	3.301587	2.387028	14	8	2
Pimmel	4.063492	2.184055	7.109375	1.968943	1.822581	1.408687	18	6	2
Pisse	3.190476	2.558081	6.885246	2.608310	2.269841	1.667588	18	5	2
Pizza	6.380952	1.799898	4.625000	2.472066	1.650794	1.493629	13	5	2
Plage	3.714286	2.113158	4.578125	2.593060	6.387097	2.588467	14	5	2
Plakat	5.142857	0.877260	2.444444	1.924191	2.444444	2.190727	12	6	2
Plane	5.063492	0.948224	2.193548	1.677613	2.253968	1.822514	14	5	2
Platte	5.109375	0.856667	2.360656	1.844205	2.354839	1.670347	11	6	2
Pleite	3.476191	2.333882	5.078125	2.470812	6.080645	2.777535	11	6	2
Pöbel	3.555556	2.108185	5.265625	2.064378	5.112903	2.704610	15	5	2
Pocken	3.111111	2.443630	4.333333	2.590305	3.241936	2.337755	15	6	2
Poet	6.142857	2.227809	4.843750	2.262312	5.095238	2.394310	13	4	2
Polyp	4.269841	1.686821	3.031746	2.047566	3.174603	2.275676	18	5	2
Popel	4.015625	1.838669	5.539683	2.319798	1.967742	1.819455	18	5	2
